,alpha,n,Causal_Effect,m_choice,method,Lower,Upper,NoNans
0,0.172,100,0.0,heuristic,resampling,0.14938483433375518,0.1969037350856004,0
1,0.0,100,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
2,0.054,100,0.0,sqrt,resampling,0.04135450923997081,0.0698645598642971,0
3,0.0,100,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
4,0.292,100,0.3,heuristic,resampling,0.26443029053404593,0.3209487770088312,0
5,0.132,100,0.3,heuristic,score-based,0.11186690281465965,0.15439879761282535,0
6,0.066,100,0.3,sqrt,resampling,0.05185138015459209,0.08335941988116607,0
7,0.174,100,0.3,sqrt,score-based,0.15139056570350048,0.19890739374530983,0
8,0.04,316,0.0,heuristic,resampling,0.029361464658197653,0.054336563808795445,0
9,0.0,316,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
10,0.06,316,0.0,sqrt,resampling,0.04639371903764775,0.07637808231787208,0
11,0.0,316,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
12,0.324,316,0.3,heuristic,resampling,0.2954385144494102,0.35395447426047466,0
13,0.496,316,0.3,heuristic,score-based,0.4649899393272023,0.5270076918169747,0
14,0.084,316,0.3,sqrt,resampling,0.06784819968746397,0.1028790040149477,0
15,0.528,316,0.3,sqrt,score-based,0.4969991561287358,0.5590176563423986,0
16,0.066,1000,0.0,heuristic,resampling,0.05185138015459209,0.08335941988116607,0
17,0.0,1000,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
18,0.048,1000,0.0,sqrt,resampling,0.035966075447554556,0.06334633037999089,0
19,0.0,1000,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
20,0.412,1000,0.3,heuristic,resampling,0.38146278232379494,0.4429830128008988,0
21,0.994,1000,0.3,heuristic,score-based,0.9871457356108557,0.9973838591507966,0
22,0.126,1000,0.3,sqrt,resampling,0.10636836986959193,0.1483818930407427,0
23,0.988,1000,0.3,sqrt,score-based,0.979158538242251,0.9932902892616876,0
24,0.072,3162,0.0,heuristic,resampling,0.0573680319174057,0.08986809016219338,0
25,0.0,3162,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
26,0.078,3162,0.0,sqrt,resampling,0.06265713824748637,0.09637446081248807,0
27,0.0,3162,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
28,0.694,3162,0.3,heuristic,resampling,0.6645495405806288,0.7220670837374645,0
29,1.0,3162,0.3,heuristic,score-based,0.9962366342889944,1.0,0
30,0.174,3162,0.3,sqrt,resampling,0.15139056570350048,0.19890739374530983,0
31,1.0,3162,0.3,sqrt,score-based,0.9962366342889944,1.0,0
32,0.042,10000,0.0,heuristic,resampling,0.030833402249531076,0.05635796230591598,0
33,0.0,10000,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
34,0.078,10000,0.0,sqrt,resampling,0.06265713824748637,0.09637446081248807,0
35,0.0,10000,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
36,0.838,10000,0.3,heuristic,resampling,0.8136002048656683,0.8598836073045519,0
37,1.0,10000,0.3,heuristic,score-based,0.9962366342889944,1.0,0
38,0.222,10000,0.3,sqrt,resampling,0.19690373445384757,0.24892475798214125,0
39,1.0,10000,0.3,sqrt,score-based,0.9962366342889944,1.0,0
40,0.06,31622,0.0,heuristic,resampling,0.04639371903764775,0.07637808231787208,0
41,0.0,31622,0.0,heuristic,score-based,0.0,0.0037633657110052255,0
42,0.066,31622,0.0,sqrt,resampling,0.05185138015459209,0.08335941988116607,0
43,0.0,31622,0.0,sqrt,score-based,0.0,0.0037633657110052255,0
44,0.934,31622,0.3,heuristic,resampling,0.9166405801188339,0.9481486198454078,0
45,1.0,31622,0.3,heuristic,score-based,0.9962366342889944,1.0,0
46,0.378,31622,0.3,sqrt,resampling,0.34795102572253245,0.40847409330890483,0
47,1.0,31622,0.3,sqrt,score-based,0.9962366342889944,1.0,0
