,RejectRate,TargetMean,Test,Lower,Upper,Count
0,0.048,1.0,Resampling,0.035966075447554556,0.06334633037999089,1000
1,0.042,1.0,IPW,0.030833402249531076,0.05635796230591598,1000
2,0.042,1.0,IPWClipped,0.030833402249531076,0.05635796230591598,1000
3,0.156,1.5,Resampling,0.13438110494140193,0.179903475350026,1000
4,0.138,1.5,IPW,0.11789196075318874,0.16089609866724436,1000
5,0.251,1.5,IPWClipped,0.22491952176669278,0.2789338555354311,1000
6,0.462,2.0,Resampling,0.43097888178785326,0.4929980308728602,1000
7,0.551,2.0,IPW,0.5200056629708475,0.5820259638053451,1000
8,0.567,2.0,IPWClipped,0.5360103605754202,0.5975281980285861,1000
9,0.721,2.5,Resampling,0.6920605521966303,0.7480717719281036,1000
10,0.727,2.5,IPW,0.6985567051945161,0.7540788510881559,1000
11,0.821,2.5,IPWClipped,0.7960839134115192,0.8437344314877493,1000
12,0.91,3.0,Resampling,0.8906179209935792,0.9266436814014749,1000
13,0.832,3.0,IPW,0.8075885026756121,0.8541044939003947,1000
14,0.96,3.0,IPWClipped,0.9456634361912042,0.9706385353418021,1000
15,0.946,3.5,Resampling,0.9301354401357029,0.9586454907600289,1000
16,0.838,3.5,IPW,0.8136002048656683,0.8598836073045519,1000
17,0.988,3.5,IPWClipped,0.979158538242251,0.9932902892616876,1000
18,0.946,4.0,Resampling,0.9301354401357029,0.9586454907600289,1000
19,0.815,4.0,IPW,0.7895882377570224,0.8381013777622629,1000
20,0.994,4.0,IPWClipped,0.9871457356108557,0.9973838591507966,1000
21,0.976,4.5,Resampling,0.9646376473177984,0.9841851557281477,1000
22,0.76,4.5,IPW,0.7325666525549882,0.7855819073829089,1000
23,1.0,4.5,IPWClipped,0.9962366342889944,1.0,1000
24,0.964,5.0,Resampling,0.9506338916164095,0.9741565615669981,1000
25,0.719,5.0,IPW,0.6900590253491241,0.7460695319655699,1000
26,1.0,5.0,IPWClipped,0.9962366342889944,1.0,1000
27,0.976,5.5,Resampling,0.9646376473177984,0.9841851557281477,1000
28,0.592,5.5,IPW,0.5610183315213839,0.6225391365159932,1000
29,1.0,5.5,IPWClipped,0.9962366342889944,1.0,1000
30,0.988,6.0,Resampling,0.979158538242251,0.9932902892616876,1000
31,0.466,6.0,IPW,0.4349802917150165,0.49699915693669583,1000
32,0.994,6.0,IPWClipped,0.9871457356108557,0.9973838591507966,1000
