method,n,causal_effect,K,lower,reject,upper
DML,100,0.0,2.0,0.01025452402403891,0.03,0.08451936429052763
DML,100,0.3,2.0,0.1333669333310325,0.2,0.2888291655931589
DML,316,0.0,2.0,0.015663303991547604,0.04,0.09837071435887923
DML,316,0.3,2.0,0.7111708344068411,0.8,0.8666330666689676
DML,1000,0.0,2.0,0.001767432064140647,0.01,0.05448619617870533
DML,1000,0.3,2.0,0.9630065017930143,1.0,1.0
DML,3162,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
DML,3162,0.3,2.0,0.9630065017930143,1.0,1.0
DML,10000,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
DML,10000,0.3,2.0,0.9630065017930143,1.0,1.0
ours,100,0.0,2.0,0.11700225498946347,0.18,0.2666735838630073
ours,100,0.3,2.0,0.47215389549212305,0.57,0.6626670147588988
ours,316,0.0,2.0,0.05522913706067509,0.1,0.17436566150491348
ours,316,0.3,2.0,0.5833738138954762,0.68,0.7633085267500092
ours,1000,0.0,2.0,0.03431926106727266,0.07,0.13749514739073504
ours,1000,0.3,2.0,0.6784561697712621,0.77,0.8415673411969655
ours,3162,0.0,2.0,0.021543679154367966,0.05,0.11175046923191914
ours,3162,0.3,2.0,0.929988209271456,0.98,0.9944980324498376
ours,10000,0.0,2.0,0.0,0.0,0.03699349820698569
ours,10000,0.3,2.0,0.9630065017930143,1.0,1.0
